Number,Crystal
1,Triclinic
2,Triclinic
3,Monoclinic
4,Monoclinic
5,Monoclinic
6,Monoclinic
7,Monoclinic
8,Monoclinic
9,Monoclinic
10,Monoclinic
11,Monoclinic
12,Monoclinic
13,Monoclinic
14,Monoclinic
15,Monoclinic
16,Orthorombic
17,Orthorombic
18,Orthorombic
19,Orthorombic
20,Orthorombic
21,Orthorombic
22,Orthorombic
23,Orthorombic
24,Orthorombic
25,Orthorombic
26,Orthorombic
27,Orthorombic
28,Orthorombic
29,Orthorombic
30,Orthorombic
31,Orthorombic
32,Orthorombic
33,Orthorombic
34,Orthorombic
35,Orthorombic
36,Orthorombic
37,Orthorombic
38,Orthorombic
39,Orthorombic
40,Orthorombic
41,Orthorombic
42,Orthorombic
43,Orthorombic
44,Orthorombic
45,Orthorombic
46,Orthorombic
47,Orthorombic
48,Orthorombic
49,Orthorombic
50,Orthorombic
51,Orthorombic
52,Orthorombic
53,Orthorombic
54,Orthorombic
55,Orthorombic
56,Orthorombic
57,Orthorombic
58,Orthorombic
59,Orthorombic
60,Orthorombic
61,Orthorombic
62,Orthorombic
63,Orthorombic
64,Orthorombic
65,Orthorombic
66,Orthorombic
67,Orthorombic
68,Orthorombic
69,Orthorombic
70,Orthorombic
71,Orthorombic
72,Orthorombic
73,Orthorombic
74,Orthorombic
75,Tetragonal
76,Tetragonal
77,Tetragonal
78,Tetragonal
79,Tetragonal
80,Tetragonal
81,Tetragonal
82,Tetragonal
83,Tetragonal
84,Tetragonal
85,Tetragonal
86,Tetragonal
87,Tetragonal
88,Tetragonal
89,Tetragonal
90,Tetragonal
91,Tetragonal
92,Tetragonal
93,Tetragonal
94,Tetragonal
95,Tetragonal
96,Tetragonal
97,Tetragonal
98,Tetragonal
99,Tetragonal
100,Tetragonal
101,Tetragonal
102,Tetragonal
103,Tetragonal
104,Tetragonal
105,Tetragonal
106,Tetragonal
107,Tetragonal
108,Tetragonal
109,Tetragonal
110,Tetragonal
111,Tetragonal
112,Tetragonal
113,Tetragonal
114,Tetragonal
115,Tetragonal
116,Tetragonal
117,Tetragonal
118,Tetragonal
119,Tetragonal
120,Tetragonal
121,Tetragonal
122,Tetragonal
123,Tetragonal
124,Tetragonal
125,Tetragonal
126,Tetragonal
127,Tetragonal
128,Tetragonal
129,Tetragonal
130,Tetragonal
131,Tetragonal
132,Tetragonal
133,Tetragonal
134,Tetragonal
135,Tetragonal
136,Tetragonal
137,Tetragonal
138,Tetragonal
139,Tetragonal
140,Tetragonal
141,Tetragonal
142,Tetragonal
143,Trigonal
144,Trigonal
145,Trigonal
146,Trigonal
147,Trigonal
148,Trigonal
149,Trigonal
150,Trigonal
151,Trigonal
152,Trigonal
153,Trigonal
154,Trigonal
155,Trigonal
156,Trigonal
157,Trigonal
158,Trigonal
159,Trigonal
160,Trigonal
161,Trigonal
162,Trigonal
163,Trigonal
164,Trigonal
165,Trigonal
166,Trigonal
167,Trigonal
168,Hexagonal
169,Hexagonal
170,Hexagonal
171,Hexagonal
172,Hexagonal
173,Hexagonal
174,Hexagonal
175,Hexagonal
176,Hexagonal
177,Hexagonal
178,Hexagonal
179,Hexagonal
180,Hexagonal
181,Hexagonal
182,Hexagonal
183,Hexagonal
184,Hexagonal
185,Hexagonal
186,Hexagonal
187,Hexagonal
188,Hexagonal
189,Hexagonal
190,Hexagonal
191,Hexagonal
192,Hexagonal
193,Hexagonal
194,Hexagonal
195,Cubic
196,Cubic
197,Cubic
198,Cubic
199,Cubic
200,Cubic
201,Cubic
202,Cubic
203,Cubic
204,Cubic
205,Cubic
206,Cubic
207,Cubic
208,Cubic
209,Cubic
210,Cubic
211,Cubic
212,Cubic
213,Cubic
214,Cubic
215,Cubic
216,Cubic
217,Cubic
218,Cubic
219,Cubic
220,Cubic
221,Cubic
222,Cubic
223,Cubic
224,Cubic
225,Cubic
226,Cubic
227,Cubic
228,Cubic
229,Cubic
230,Cubic
